Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
Wabco India,Content Writer,Kolkata,2023,MBA,General,2-3 Years,"Prototyping, Figma, Illustrator","Wabco India is hiring a Content Writer for its Kolkata office. The role calls for a MBA in General and hands-on knowledge of Prototyping, Figma, Illustrator. Experience required: 2-3 Years."
Delhivery,Brand Manager,Chandigarh,2020,MBA,Marketing Management,3-5 Years,"Content Marketing, CRM, Google Ads, SEM, Negotiation","Exciting opportunity for a Brand Manager at Delhivery (Chandigarh). Applicants must be MBA graduates in Marketing Management, comfortable with Content Marketing, CRM, Google Ads, SEM, Negotiation, and have 3-5 Years of industry experience."
Practo,NLP Engineer,Coimbatore,2022,M.Tech,Data Science,1-3 Years,"NumPy, Tableau, Pandas, Excel, R","Exciting opportunity for a NLP Engineer at Practo (Coimbatore). Applicants must be M.Tech graduates in Data Science, comfortable with NumPy, Tableau, Pandas, Excel, R, and have 1-3 Years of industry experience."
Godrej Consumer Products,DevOps Engineer,Bangalore,2023,B.Tech,Computer Science,4-6 Years,"GCP, Ansible, Kubernetes","Exciting opportunity for a DevOps Engineer at Godrej Consumer Products (Bangalore). Applicants must be B.Tech graduates in Computer Science, comfortable with GCP, Ansible, Kubernetes, and have 4-6 Years of industry experience."
Mahindra & Mahindra,Site Reliability Engineer,Vijayawada,2016,B.E.,Information Technology,10+ Years,"Ansible, Kubernetes, CI/CD, Monitoring Tools","Mahindra & Mahindra is hiring a Site Reliability Engineer for its Vijayawada office. The role calls for a B.E. in Information Technology and hands-on knowledge of Ansible, Kubernetes, CI/CD, Monitoring Tools. Experience required: 10+ Years."
Zepto,Security Engineer,Vijayawada,2021,BCA,Information Technology,7-10 Years,"Firewalls, Network Security, VPN, Cybersecurity","We are looking for a passionate Security Engineer to join Zepto in Vijayawada. Candidates should hold a BCA (Information Technology) and be skilled in Firewalls, Network Security, VPN, Cybersecurity. Experience level: 7-10 Years."
Tata CLiQ,Financial Analyst,Mangalore,2022,CMA,Financial Management,5-8 Years,"Financial Reporting, Budgeting, Tally, Auditing","We are looking for a passionate Financial Analyst to join Tata CLiQ in Mangalore. Candidates should hold a CMA (Financial Management) and be skilled in Financial Reporting, Budgeting, Tally, Auditing. Experience level: 5-8 Years."
Texas Instruments India,Software Developer,Chandigarh,2026,MCA,Electronics and Communication,3-5 Years,"MongoDB, React, JavaScript, Node.js, Git","Texas Instruments India is expanding its Chandigarh team and seeking a Software Developer. A MCA in Electronics and Communication is required along with working knowledge of MongoDB, React, JavaScript, Node.js, Git. Experience: 3-5 Years."
L&T Infotech,R&D Engineer,Gandhinagar,2025,B.Tech,Industrial Engineering,1-3 Years,"AutoCAD, Lean Manufacturing, SolidWorks","L&T Infotech is hiring a R&D Engineer for its Gandhinagar office. The role calls for a B.Tech in Industrial Engineering and hands-on knowledge of AutoCAD, Lean Manufacturing, SolidWorks. Experience required: 1-3 Years."
VMware India,Marketing Executive,Nagpur,2020,MBA,General Management,2-4 Years,"SEM, Lead Generation, Social Media Marketing, SEO, Content Marketing","Join VMware India as a Marketing Executive in Nagpur! We need someone with a MBA in General Management, strong command of SEM, Lead Generation, Social Media Marketing, SEO, Content Marketing, and 2-4 Years of relevant experience."
Vishal Mega Mart,Learning & Development Executive,Bhubaneswar,2023,BBA,Human Resources,1-2 Years,"Talent Management, Performance Management, HR Policies, Onboarding, Communication","Join Vishal Mega Mart as a Learning & Development Executive in Bhubaneswar! We need someone with a BBA in Human Resources, strong command of Talent Management, Performance Management, HR Policies, Onboarding, Communication, and 1-2 Years of relevant experience."
PharmEasy,Cybersecurity Analyst,Tirupati,2023,B.E.,Electronics and Communication,Fresher,"Windows Server, Network Security, Networking","Exciting opportunity for a Cybersecurity Analyst at PharmEasy (Tirupati). Applicants must be B.E. graduates in Electronics and Communication, comfortable with Windows Server, Network Security, Networking, and have Fresher of industry experience."
Honeywell India,Production Engineer,Gurgaon,2018,B.E.,Automobile Engineering,0-1 Years,"Product Design, AutoCAD, CATIA, CNC Programming, SolidWorks","Join Honeywell India as a Production Engineer in Gurgaon! We need someone with a B.E. in Automobile Engineering, strong command of Product Design, AutoCAD, CATIA, CNC Programming, SolidWorks, and 0-1 Years of relevant experience."
Sharechat,Finance Analyst,Nashik,2022,CMA,Financial Management,7-10 Years,"SAP, Budgeting, GST","Sharechat has an opening for a Finance Analyst based in Nashik. The ideal candidate is a CMA graduate in Financial Management with proficiency in SAP, Budgeting, GST. Required experience: 7-10 Years."
Ambuja Cements,Operations Executive,Mumbai,2022,B.Com,Management,1-3 Years,"Email Etiquette, Time Management, Problem Solving, MS Office","Ambuja Cements is hiring a Operations Executive for its Mumbai office. The role calls for a B.Com in Management and hands-on knowledge of Email Etiquette, Time Management, Problem Solving, MS Office. Experience required: 1-3 Years."
Angel One,Chemical Engineer,Amaravati,2016,B.Tech,Chemical Engineering,10+ Years,"Safety Management, Process Design, Six Sigma, Quality Control, Process Optimization","Join Angel One as a Chemical Engineer in Amaravati! We need someone with a B.Tech in Chemical Engineering, strong command of Safety Management, Process Design, Six Sigma, Quality Control, Process Optimization, and 10+ Years of relevant experience."
Tata CLiQ,Business Analyst,Guwahati,2025,PGDM,Business Administration,1-2 Years,"Requirement Gathering, Stakeholder Management, Wireframing","Exciting opportunity for a Business Analyst at Tata CLiQ (Guwahati). Applicants must be PGDM graduates in Business Administration, comfortable with Requirement Gathering, Stakeholder Management, Wireframing, and have 1-2 Years of industry experience."
ICICI Prudential,.NET Developer,Mohali,2020,BCA,Information Technology,5-7 Years,"HTML/CSS, MongoDB, REST APIs","ICICI Prudential is expanding its Mohali team and seeking a .NET Developer. A BCA in Information Technology is required along with working knowledge of HTML/CSS, MongoDB, REST APIs. Experience: 5-7 Years."
Samsung R&D Institute India,Accounts Manager,Pune,2023,M.Com,Financial Management,8-12 Years,"Taxation, Auditing, GST, SAP","Join Samsung R&D Institute India as a Accounts Manager in Pune! We need someone with a M.Com in Financial Management, strong command of Taxation, Auditing, GST, SAP, and 8-12 Years of relevant experience."
HP India,Quality Engineer,Chandigarh,2017,M.Tech,Industrial Engineering,8-12 Years,"Product Design, CATIA, SolidWorks, Ansys, GD&T","HP India has an opening for a Quality Engineer based in Chandigarh. The ideal candidate is a M.Tech graduate in Industrial Engineering with proficiency in Product Design, CATIA, SolidWorks, Ansys, GD&T. Required experience: 8-12 Years."
TCS,Credit Analyst,Chennai,2019,CMA,Commerce,1-3 Years,"SAP, Financial Reporting, Excel, Tally","Join TCS as a Credit Analyst in Chennai! We need someone with a CMA in Commerce, strong command of SAP, Financial Reporting, Excel, Tally, and 1-3 Years of relevant experience."
InMobi,Quality Engineer,Kolkata,2022,B.E.,Mechanical Engineering,5-8 Years,"Six Sigma, CATIA, PLM, Ansys","We are looking for a passionate Quality Engineer to join InMobi in Kolkata. Candidates should hold a B.E. (Mechanical Engineering) and be skilled in Six Sigma, CATIA, PLM, Ansys. Experience level: 5-8 Years."
24/7 Customer,Civil Engineer,Nagpur,2016,B.Tech,Structural Engineering,7-10 Years,"Primavera, Project Management, AutoCAD, Site Supervision","24/7 Customer is expanding its Nagpur team and seeking a Civil Engineer. A B.Tech in Structural Engineering is required along with working knowledge of Primavera, Project Management, AutoCAD, Site Supervision. Experience: 7-10 Years."
Vedanta Limited,HR Manager,Nashik,2023,PGDM,General Management,2-3 Years,"Payroll, Performance Management, HR Policies","Vedanta Limited is expanding its Nashik team and seeking a HR Manager. A PGDM in General Management is required along with working knowledge of Payroll, Performance Management, HR Policies. Experience: 2-3 Years."
Future Group,Project Engineer,Mangalore,2019,B.Tech,Civil Engineering,2-4 Years,"MS Project, Primavera, STAAD Pro, Site Supervision, Estimation & Costing","Join Future Group as a Project Engineer in Mangalore! We need someone with a B.Tech in Civil Engineering, strong command of MS Project, Primavera, STAAD Pro, Site Supervision, Estimation & Costing, and 2-4 Years of relevant experience."
Zomato,Site Engineer,Noida Sector 62,2021,Diploma,Civil Engineering,7-10 Years,"Revit, Primavera, Estimation & Costing, STAAD Pro","We are looking for a passionate Site Engineer to join Zomato in Noida Sector 62. Candidates should hold a Diploma (Civil Engineering) and be skilled in Revit, Primavera, Estimation & Costing, STAAD Pro. Experience level: 7-10 Years."
24/7 Customer,Financial Analyst,Remote,2019,M.Com,Commerce,0-1 Years,"Financial Modeling, Financial Reporting, Accounting Standards","Exciting opportunity for a Financial Analyst at 24/7 Customer (Remote). Applicants must be M.Com graduates in Commerce, comfortable with Financial Modeling, Financial Reporting, Accounting Standards, and have 0-1 Years of industry experience."
Fortis Healthcare,Cybersecurity Analyst,Remote,2020,B.Tech,Computer Science,0-2 Years,"VPN, TCP/IP, CCNA, Networking, Cybersecurity","Join Fortis Healthcare as a Cybersecurity Analyst in Remote! We need someone with a B.Tech in Computer Science, strong command of VPN, TCP/IP, CCNA, Networking, Cybersecurity, and 0-2 Years of relevant experience."
HDFC Bank,Backend Developer,Indore,2026,B.E.,Information Technology,0-1 Years,"Microservices, MySQL, Spring Boot, Git, Angular","HDFC Bank has an opening for a Backend Developer based in Indore. The ideal candidate is a B.E. graduate in Information Technology with proficiency in Microservices, MySQL, Spring Boot, Git, Angular. Required experience: 0-1 Years."
HP India,Brand Manager,Tirupati,2024,MBA,Sales,5-8 Years,"Content Marketing, Negotiation, Social Media Marketing","Join HP India as a Brand Manager in Tirupati! We need someone with a MBA in Sales, strong command of Content Marketing, Negotiation, Social Media Marketing, and 5-8 Years of relevant experience."
Motorola Solutions India,Data Engineer,Hinjewadi Pune,2026,B.Tech,Information Technology,2-4 Years,"Python, Power BI, Data Visualization, PyTorch, Deep Learning","Motorola Solutions India has an opening for a Data Engineer based in Hinjewadi Pune. The ideal candidate is a B.Tech graduate in Information Technology with proficiency in Python, Power BI, Data Visualization, PyTorch, Deep Learning. Required experience: 2-4 Years."
Trent Limited,Graphic Designer,Ahmedabad,2017,BCA,General,2-3 Years,"Prototyping, Content Writing, Illustrator, SEO Writing","Exciting opportunity for a Graphic Designer at Trent Limited (Ahmedabad). Applicants must be BCA graduates in General, comfortable with Prototyping, Content Writing, Illustrator, SEO Writing, and have 2-3 Years of industry experience."
Siemens India,Quality Engineer,Jaipur,2018,Diploma,Mechanical Engineering,5-8 Years,"Ansys, CNC Programming, Six Sigma, GD&T","We are looking for a passionate Quality Engineer to join Siemens India in Jaipur. Candidates should hold a Diploma (Mechanical Engineering) and be skilled in Ansys, CNC Programming, Six Sigma, GD&T. Experience level: 5-8 Years."
Urban Company,Instrumentation Engineer,Hinjewadi Pune,2016,B.E.,Electronics and Communication,1-2 Years,"Power Systems, Microcontrollers, Circuit Design, PCB Design, VLSI Design","We are looking for a passionate Instrumentation Engineer to join Urban Company in Hinjewadi Pune. Candidates should hold a B.E. (Electronics and Communication) and be skilled in Power Systems, Microcontrollers, Circuit Design, PCB Design, VLSI Design. Experience level: 1-2 Years."
Cognizant,Cloud Engineer,Vijayawada,2018,B.Tech,Information Technology,0-1 Years,"CI/CD, Jenkins, Terraform, Ansible, Monitoring Tools","Cognizant has an opening for a Cloud Engineer based in Vijayawada. The ideal candidate is a B.Tech graduate in Information Technology with proficiency in CI/CD, Jenkins, Terraform, Ansible, Monitoring Tools. Required experience: 0-1 Years."
Dabur India,Chemical Engineer,Mysore,2016,M.Tech,Chemical Engineering,2-4 Years,"Six Sigma, Quality Control, Safety Management, Process Optimization","Exciting opportunity for a Chemical Engineer at Dabur India (Mysore). Applicants must be M.Tech graduates in Chemical Engineering, comfortable with Six Sigma, Quality Control, Safety Management, Process Optimization, and have 2-4 Years of industry experience."
Unacademy,DevOps Engineer,Bhubaneswar,2023,B.E.,Information Technology,2-4 Years,"Azure, Kubernetes, CI/CD, Terraform","We are looking for a passionate DevOps Engineer to join Unacademy in Bhubaneswar. Candidates should hold a B.E. (Information Technology) and be skilled in Azure, Kubernetes, CI/CD, Terraform. Experience level: 2-4 Years."
Vishal Mega Mart,Maintenance Engineer,Bangalore,2019,Diploma,Mechanical Engineering,4-6 Years,"CATIA, GD&T, PLM, CNC Programming","Join Vishal Mega Mart as a Maintenance Engineer in Bangalore! We need someone with a Diploma in Mechanical Engineering, strong command of CATIA, GD&T, PLM, CNC Programming, and 4-6 Years of relevant experience."
ABB India,Digital Marketing Specialist,Mangalore,2025,BBA,Marketing,8-12 Years,"Social Media Marketing, Negotiation, Content Marketing, SEM","ABB India is expanding its Mangalore team and seeking a Digital Marketing Specialist. A BBA in Marketing is required along with working knowledge of Social Media Marketing, Negotiation, Content Marketing, SEM. Experience: 8-12 Years."
Adani Green Energy,System Administrator,Mysore,2025,MCA,Information Technology,1-3 Years,"Docker, CI/CD, Jenkins","Adani Green Energy has an opening for a System Administrator based in Mysore. The ideal candidate is a MCA graduate in Information Technology with proficiency in Docker, CI/CD, Jenkins. Required experience: 1-3 Years."
Wabco India,Plant Engineer,Surat,2019,B.E.,Petrochemical Engineering,0-1 Years,"Process Design, Safety Management, Six Sigma, Aspen Plus","Wabco India is hiring a Plant Engineer for its Surat office. The role calls for a B.E. in Petrochemical Engineering and hands-on knowledge of Process Design, Safety Management, Six Sigma, Aspen Plus. Experience required: 0-1 Years."
Cure.fit,Software Developer,Ahmedabad,2023,B.Tech,Computer Science,1-2 Years,"AWS, SQL, Node.js, MongoDB","Exciting opportunity for a Software Developer at Cure.fit (Ahmedabad). Applicants must be B.Tech graduates in Computer Science, comfortable with AWS, SQL, Node.js, MongoDB, and have 1-2 Years of industry experience."
Future Group,Brand Manager,Kochi,2018,PGDM,Sales,7-10 Years,"Content Marketing, Market Research, Negotiation","Future Group has an opening for a Brand Manager based in Kochi. The ideal candidate is a PGDM graduate in Sales with proficiency in Content Marketing, Market Research, Negotiation. Required experience: 7-10 Years."
Sharechat,Test Engineer,Nashik,2016,B.Tech,Information Technology,8-12 Years,"Load Testing, JUnit, Selenium","Sharechat is expanding its Nashik team and seeking a Test Engineer. A B.Tech in Information Technology is required along with working knowledge of Load Testing, JUnit, Selenium. Experience: 8-12 Years."
Salesforce India,Backend Developer,Hyderabad,2023,BCA,Software Engineering,1-2 Years,"Angular, HTML/CSS, REST APIs, Microservices, AWS","Join Salesforce India as a Backend Developer in Hyderabad! We need someone with a BCA in Software Engineering, strong command of Angular, HTML/CSS, REST APIs, Microservices, AWS, and 1-2 Years of relevant experience."
Dr. Reddy's Laboratories,Process Engineer,Mangalore,2025,M.Tech,Petrochemical Engineering,2-3 Years,"Plant Operations, Process Design, Six Sigma, Safety Management, Quality Control","Dr. Reddy's Laboratories is expanding its Mangalore team and seeking a Process Engineer. A M.Tech in Petrochemical Engineering is required along with working knowledge of Plant Operations, Process Design, Six Sigma, Safety Management, Quality Control. Experience: 2-3 Years."
Tata Steel,DevOps Engineer,Bhopal,2020,MCA,Information Technology,8-12 Years,"Monitoring Tools, Jenkins, CI/CD, Azure, AWS","Tata Steel has an opening for a DevOps Engineer based in Bhopal. The ideal candidate is a MCA graduate in Information Technology with proficiency in Monitoring Tools, Jenkins, CI/CD, Azure, AWS. Required experience: 8-12 Years."
Reliance Retail,Learning & Development Executive,Chandigarh,2022,B.Com,Human Resources,2-4 Years,"Employee Engagement, Talent Management, HRMS, Onboarding, Performance Management","Reliance Retail is expanding its Chandigarh team and seeking a Learning & Development Executive. A B.Com in Human Resources is required along with working knowledge of Employee Engagement, Talent Management, HRMS, Onboarding, Performance Management. Experience: 2-4 Years."
Bharat Electronics,Finance Analyst,Hinjewadi Pune,2016,MBA,Accounting,5-8 Years,"GST, Financial Reporting, Auditing, Excel","Bharat Electronics is expanding its Hinjewadi Pune team and seeking a Finance Analyst. A MBA in Accounting is required along with working knowledge of GST, Financial Reporting, Auditing, Excel. Experience: 5-8 Years."
Pidilite Industries,Project Engineer,Patna,2017,Diploma,Construction Technology,5-7 Years,"Site Supervision, Primavera, Estimation & Costing, Revit, STAAD Pro","Pidilite Industries has an opening for a Project Engineer based in Patna. The ideal candidate is a Diploma graduate in Construction Technology with proficiency in Site Supervision, Primavera, Estimation & Costing, Revit, STAAD Pro. Required experience: 5-7 Years."
Teleperformance,HR Executive,Bangalore / Hyderabad,2019,B.Com,HR Management,4-6 Years,"Communication, Payroll, Performance Management","Teleperformance has an opening for a HR Executive based in Bangalore / Hyderabad. The ideal candidate is a B.Com graduate in HR Management with proficiency in Communication, Payroll, Performance Management. Required experience: 4-6 Years."
Bharat Heavy Electricals,Software Developer,Hinjewadi Pune,2026,B.E.,Computer Science,5-7 Years,"AWS, Git, Microservices, MongoDB, REST APIs","Exciting opportunity for a Software Developer at Bharat Heavy Electricals (Hinjewadi Pune). Applicants must be B.E. graduates in Computer Science, comfortable with AWS, Git, Microservices, MongoDB, REST APIs, and have 5-7 Years of industry experience."
Birlasoft,Production Engineer,Visakhapatnam,2021,B.E.,Production Engineering,1-3 Years,"CNC Programming, Six Sigma, CATIA, AutoCAD, SolidWorks","Birlasoft is hiring a Production Engineer for its Visakhapatnam office. The role calls for a B.E. in Production Engineering and hands-on knowledge of CNC Programming, Six Sigma, CATIA, AutoCAD, SolidWorks. Experience required: 1-3 Years."
ICICI Bank,Site Reliability Engineer,Mohali,2023,B.E.,Computer Science,0-1 Years,"CI/CD, Monitoring Tools, AWS","We are looking for a passionate Site Reliability Engineer to join ICICI Bank in Mohali. Candidates should hold a B.E. (Computer Science) and be skilled in CI/CD, Monitoring Tools, AWS. Experience level: 0-1 Years."
Suzlon Energy,Learning & Development Executive,Lucknow,2022,BBA,General Management,2-4 Years,"Employee Engagement, Recruitment, Onboarding","Join Suzlon Energy as a Learning & Development Executive in Lucknow! We need someone with a BBA in General Management, strong command of Employee Engagement, Recruitment, Onboarding, and 2-4 Years of relevant experience."
Ambuja Cements,Sales Executive,Guwahati,2025,PGDM,General Management,0-1 Years,"SEM, Salesforce, Lead Generation, Negotiation, Market Research","Ambuja Cements is hiring a Sales Executive for its Guwahati office. The role calls for a PGDM in General Management and hands-on knowledge of SEM, Salesforce, Lead Generation, Negotiation, Market Research. Experience required: 0-1 Years."
Trent Limited,Plant Engineer,Hinjewadi Pune,2026,B.Tech,Chemical Engineering,2-4 Years,"Plant Operations, Process Optimization, Safety Management, Six Sigma, Quality Control","Trent Limited is expanding its Hinjewadi Pune team and seeking a Plant Engineer. A B.Tech in Chemical Engineering is required along with working knowledge of Plant Operations, Process Optimization, Safety Management, Six Sigma, Quality Control. Experience: 2-4 Years."
Airtel,Cybersecurity Analyst,Chennai,2016,B.Tech,Information Technology,8-12 Years,"Networking, Cybersecurity, VPN, Troubleshooting","We are looking for a passionate Cybersecurity Analyst to join Airtel in Chennai. Candidates should hold a B.Tech (Information Technology) and be skilled in Networking, Cybersecurity, VPN, Troubleshooting. Experience level: 8-12 Years."
Reliance Retail,HR Manager,Nashik,2016,B.Com,HR Management,0-1 Years,"Talent Management, Performance Management, Payroll","Exciting opportunity for a HR Manager at Reliance Retail (Nashik). Applicants must be B.Com graduates in HR Management, comfortable with Talent Management, Performance Management, Payroll, and have 0-1 Years of industry experience."
Havells India,Software Architect,Mysore,2023,B.Tech,Information Technology,1-2 Years,"Java, React, Microservices, Python, JavaScript","Havells India has an opening for a Software Architect based in Mysore. The ideal candidate is a B.Tech graduate in Information Technology with proficiency in Java, React, Microservices, Python, JavaScript. Required experience: 1-2 Years."
Apollo Hospitals,Plant Engineer,Delhi NCR,2021,B.E.,Chemical Engineering,4-6 Years,"Six Sigma, Quality Control, Process Design","Apollo Hospitals is expanding its Delhi NCR team and seeking a Plant Engineer. A B.E. in Chemical Engineering is required along with working knowledge of Six Sigma, Quality Control, Process Design. Experience: 4-6 Years."
VMware India,Control Systems Engineer,Surat,2016,B.Tech,Electronics and Communication,2-3 Years,"SCADA, Microcontrollers, Circuit Design, PCB Design","VMware India is expanding its Surat team and seeking a Control Systems Engineer. A B.Tech in Electronics and Communication is required along with working knowledge of SCADA, Microcontrollers, Circuit Design, PCB Design. Experience: 2-3 Years."
Godrej & Boyce,Construction Manager,Delhi NCR,2024,M.Tech,Construction Technology,2-4 Years,"Estimation & Costing, STAAD Pro, Primavera, AutoCAD, Surveying","Godrej & Boyce is hiring a Construction Manager for its Delhi NCR office. The role calls for a M.Tech in Construction Technology and hands-on knowledge of Estimation & Costing, STAAD Pro, Primavera, AutoCAD, Surveying. Experience required: 2-4 Years."
Swiggy Instamart,Site Reliability Engineer,Coimbatore,2024,MCA,Computer Science,7-10 Years,"AWS, Linux, Azure, Terraform","Swiggy Instamart is hiring a Site Reliability Engineer for its Coimbatore office. The role calls for a MCA in Computer Science and hands-on knowledge of AWS, Linux, Azure, Terraform. Experience required: 7-10 Years."
Microsoft India,Maintenance Engineer,Mumbai,2019,B.E.,Automobile Engineering,1-3 Years,"Six Sigma, CATIA, Product Design, AutoCAD, GD&T","Microsoft India has an opening for a Maintenance Engineer based in Mumbai. The ideal candidate is a B.E. graduate in Automobile Engineering with proficiency in Six Sigma, CATIA, Product Design, AutoCAD, GD&T. Required experience: 1-3 Years."
ONGC,iOS Developer,Mumbai,2023,B.Tech,Information Technology,3-5 Years,"MySQL, Kubernetes, AWS, JavaScript","Exciting opportunity for a iOS Developer at ONGC (Mumbai). Applicants must be B.Tech graduates in Information Technology, comfortable with MySQL, Kubernetes, AWS, JavaScript, and have 3-5 Years of industry experience."
SAP Labs India,Tax Consultant,Nashik,2017,CMA,Finance,0-1 Years,"SAP, GST, Financial Reporting, Auditing, Excel","Exciting opportunity for a Tax Consultant at SAP Labs India (Nashik). Applicants must be CMA graduates in Finance, comfortable with SAP, GST, Financial Reporting, Auditing, Excel, and have 0-1 Years of industry experience."
Intel India,Civil Engineer,Mumbai,2022,M.Tech,Construction Technology,2-3 Years,"STAAD Pro, Revit, AutoCAD, MS Project","Intel India is expanding its Mumbai team and seeking a Civil Engineer. A M.Tech in Construction Technology is required along with working knowledge of STAAD Pro, Revit, AutoCAD, MS Project. Experience: 2-3 Years."
Britannia Industries,Marketing Executive,Kolkata,2026,MBA,Marketing,7-10 Years,"Social Media Marketing, Lead Generation, Market Research, SEO, SEM","Britannia Industries has an opening for a Marketing Executive based in Kolkata. The ideal candidate is a MBA graduate in Marketing with proficiency in Social Media Marketing, Lead Generation, Market Research, SEO, SEM. Required experience: 7-10 Years."
Future Group,Recruiter,Kolkata,2016,B.Com,HR Management,2-4 Years,"HRMS, Onboarding, Communication","Future Group has an opening for a Recruiter based in Kolkata. The ideal candidate is a B.Com graduate in HR Management with proficiency in HRMS, Onboarding, Communication. Required experience: 2-4 Years."
1mg Technologies,Graphic Designer,Mohali,2025,B.Sc,Fine Arts,10+ Years,"Figma, Wireframing, Sketch","1mg Technologies is hiring a Graphic Designer for its Mohali office. The role calls for a B.Sc in Fine Arts and hands-on knowledge of Figma, Wireframing, Sketch. Experience required: 10+ Years."
Dell Technologies India,Manual Tester,Hyderabad,2021,B.Tech,Information Technology,0-2 Years,"JUnit, TestNG, Selenium","We are looking for a passionate Manual Tester to join Dell Technologies India in Hyderabad. Candidates should hold a B.Tech (Information Technology) and be skilled in JUnit, TestNG, Selenium. Experience level: 0-2 Years."
Cisco India,Production Chemist,Chandigarh,2017,B.Tech,Chemical Engineering,7-10 Years,"Process Optimization, Process Design, Plant Operations, Safety Management, Six Sigma","Join Cisco India as a Production Chemist in Chandigarh! We need someone with a B.Tech in Chemical Engineering, strong command of Process Optimization, Process Design, Plant Operations, Safety Management, Six Sigma, and 7-10 Years of relevant experience."
Naukri.com,Content Writer,Bangalore / Hyderabad,2023,B.Sc,Design,0-1 Years,"Figma, Content Writing, Adobe XD, Illustrator","Naukri.com is expanding its Bangalore / Hyderabad team and seeking a Content Writer. A B.Sc in Design is required along with working knowledge of Figma, Content Writing, Adobe XD, Illustrator. Experience: 0-1 Years."
Sony India,Talent Acquisition Specialist,Hyderabad,2022,BBA,HR Management,Fresher,"Performance Management, Recruitment, HRMS, Onboarding, Communication","Sony India has an opening for a Talent Acquisition Specialist based in Hyderabad. The ideal candidate is a BBA graduate in HR Management with proficiency in Performance Management, Recruitment, HRMS, Onboarding, Communication. Required experience: Fresher."
1mg Technologies,HR Business Partner,Visakhapatnam,2026,B.Com,HR Management,5-7 Years,"Talent Management, Performance Management, Employee Engagement, HR Policies, Recruitment","Join 1mg Technologies as a HR Business Partner in Visakhapatnam! We need someone with a B.Com in HR Management, strong command of Talent Management, Performance Management, Employee Engagement, HR Policies, Recruitment, and 5-7 Years of relevant experience."
Genpact,Electronics Engineer,Ahmedabad,2026,M.Tech,Electrical Engineering,5-7 Years,"PLC, VLSI Design, Power Systems, MATLAB, Embedded C","Exciting opportunity for a Electronics Engineer at Genpact (Ahmedabad). Applicants must be M.Tech graduates in Electrical Engineering, comfortable with PLC, VLSI Design, Power Systems, MATLAB, Embedded C, and have 5-7 Years of industry experience."
Meesho,Accounts Manager,Noida Sector 62,2020,M.Com,Commerce,3-5 Years,"GST, Tally, Auditing, Budgeting","Meesho is hiring a Accounts Manager for its Noida Sector 62 office. The role calls for a M.Com in Commerce and hands-on knowledge of GST, Tally, Auditing, Budgeting. Experience required: 3-5 Years."
Microsoft India,NLP Engineer,Gandhinagar,2026,M.Sc,Information Technology,2-4 Years,"Pandas, Deep Learning, Power BI","Exciting opportunity for a NLP Engineer at Microsoft India (Gandhinagar). Applicants must be M.Sc graduates in Information Technology, comfortable with Pandas, Deep Learning, Power BI, and have 2-4 Years of industry experience."
Google India,Marketing Manager,Vadodara,2018,B.Com,Marketing,5-7 Years,"Salesforce, SEM, Market Research, Lead Generation","Join Google India as a Marketing Manager in Vadodara! We need someone with a B.Com in Marketing, strong command of Salesforce, SEM, Market Research, Lead Generation, and 5-7 Years of relevant experience."
Wipro,Digital Marketing Specialist,Indore,2020,PGDM,Marketing Management,5-7 Years,"Google Ads, Content Marketing, Salesforce, Market Research, Negotiation","Exciting opportunity for a Digital Marketing Specialist at Wipro (Indore). Applicants must be PGDM graduates in Marketing Management, comfortable with Google Ads, Content Marketing, Salesforce, Market Research, Negotiation, and have 5-7 Years of industry experience."
Britannia Industries,Production Chemist,Nashik,2021,B.E.,Chemical Engineering,2-4 Years,"Process Optimization, Six Sigma, Quality Control","Exciting opportunity for a Production Chemist at Britannia Industries (Nashik). Applicants must be B.E. graduates in Chemical Engineering, comfortable with Process Optimization, Six Sigma, Quality Control, and have 2-4 Years of industry experience."
Lenovo India,Electrical Engineer,Tirupati,2018,B.E.,Electrical Engineering,1-2 Years,"MATLAB, Circuit Design, SCADA","Lenovo India has an opening for a Electrical Engineer based in Tirupati. The ideal candidate is a B.E. graduate in Electrical Engineering with proficiency in MATLAB, Circuit Design, SCADA. Required experience: 1-2 Years."
Continental India,Design Engineer,Vadodara,2016,Diploma,Automobile Engineering,Fresher,"Six Sigma, Product Design, GD&T, Lean Manufacturing, Ansys","Continental India is hiring a Design Engineer for its Vadodara office. The role calls for a Diploma in Automobile Engineering and hands-on knowledge of Six Sigma, Product Design, GD&T, Lean Manufacturing, Ansys. Experience required: Fresher."
Hexaware Technologies,Financial Analyst,Mysore,2018,B.Com,Commerce,Fresher,"Auditing, Financial Modeling, Financial Reporting, Tally, Excel","We are looking for a passionate Financial Analyst to join Hexaware Technologies in Mysore. Candidates should hold a B.Com (Commerce) and be skilled in Auditing, Financial Modeling, Financial Reporting, Tally, Excel. Experience level: Fresher."
Nokia India,Network Engineer,Hyderabad,2021,Diploma,Electronics and Communication,5-7 Years,"VPN, TCP/IP, Firewalls, Networking, Linux","We are looking for a passionate Network Engineer to join Nokia India in Hyderabad. Candidates should hold a Diploma (Electronics and Communication) and be skilled in VPN, TCP/IP, Firewalls, Networking, Linux. Experience level: 5-7 Years."
